module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
Guardrails WordPress,gwp-profile,Profila il progetto,GP,"Raccoglie in pochi minuti gli otto campi che danno contesto a tutte le figure, criticità inclusa.",profile,,1-analysis,,gwp-board:review,true,{project-root}/_bmad/memory/grl-shared,project-profile.md
Guardrails WordPress,gwp-profile,Aggiorna il profilo,GA,"Riallinea il profilo quando il progetto cambia, e dice se il cambiamento invalida rischi già accettati.",update-profile,,anytime,gwp-profile:profile,gwp-board:accepted-risks,false,{project-root}/_bmad/memory/grl-shared,project-profile.md aggiornato
Guardrails WordPress,gwp-profile,Allinea il linguaggio del dominio,DG,"Raccoglie termini, definizioni operative, confini e casi limite condivisi senza aggiungere un decimo campo al profilo.",domain,[path],anytime,,,false,{project-root}/_bmad/memory/grl-shared,domain-glossary.md
Guardrails WordPress,gwp-board,Convoca il collegio,GB,"Fa leggere lo stesso artefatto alle sole figure pertinenti e restituisce un riepilogo unico, conflitti compresi.",review,[path],anytime,gwp-profile:profile,gwp-board:release-gate,false,{project-root}/_bmad/memory/grl-shared,"riepilogo in conversazione, righe in decisions.md e accepted-risks.md"
Guardrails WordPress,gwp-board,Rischi già accettati,GR,"Mostra, raggruppato per figura, quello che il progetto ha consapevolmente scelto di accettare.",accepted-risks,,anytime,gwp-profile:profile,,false,{project-root}/_bmad/memory/grl-shared,elenco in conversazione
Guardrails WordPress,gwp-board,Gate di rilascio,GG,"Verifica una release identificata e restituisce GO, GO_CON_CONDIZIONI, NO_GO o EVIDENZA_INSUFFICIENTE.",release-gate,[path],anytime,gwp-profile:profile,,false,{output_folder}/release-gates,{release_slug}-{gate_started_at_utc}.md
Guardrails WordPress,grl-agent-wordpress,Milo — WordPress a componenti,WP,"Progetta e implementa WordPress con Gutenberg, Elementor, ACF, campi custom, template, componenti riusabili e media nella Media Library.",consult,,anytime,gwp-profile:profile,grl-wordpress-delivery:create,false,,"modello contenuti, ACF, blocchi Gutenberg, Block Bindings, confine Elementor, template, componenti e Media Library"
Guardrails WordPress,grl-wordpress-delivery,Consegna un sito WordPress,WC,"Crea il piano di consegna e implementa solo con autorizzazione esplicita.",create,,anytime,gwp-profile:profile,gwp-board:release-gate,false,{output_folder}/wordpress/{slug},"delivery.md, content-model.md, component-plan.md, media-map.md e release-evidence.md"
Guardrails WordPress,grl-wordpress-delivery,Riprendi una consegna,WR,"Continua una delivery dallo stato persistito senza ampliare l'autorizzazione.",resume,[slug|path],anytime,,gwp-board:release-gate,false,{output_folder}/wordpress/{slug},"delivery.md e artefatti aggiornati"
Guardrails WordPress,grl-wordpress-delivery,Migra un sito WordPress,WM,"Pianifica la migrazione di un sito esistente e la esegue solo con autorizzazione esplicita.",migrate,[path|url],anytime,gwp-profile:profile,gwp-board:release-gate,false,{output_folder}/wordpress/{slug},"delivery.md, content-model.md, component-plan.md, media-map.md e release-evidence.md"
Guardrails WordPress,grl-wordpress-delivery,Verifica una consegna,WV,"Verifica il candidato senza mutarlo e prepara le evidenze per il release gate.",verify,[slug],anytime,gwp-profile:profile,gwp-board:release-gate,false,{output_folder}/wordpress/{slug},"release-evidence.md e delivery.md aggiornati"
Guardrails WordPress,grl-automation,Instrada un'automazione,AR,"Classifica lo scenario, sceglie agenti e workflow BMad e dichiara capability mancanti, scope e approvazioni, includendo social/content e creative video.",route,,anytime,gwp-profile:profile,grl-automation:plan,false,{output_folder}/automation/{slug},"run.md, route e handoff.md"
Guardrails WordPress,grl-automation,Prepara un piano eseguibile,PL,"Costruisce passi idempotenti con input, output, precondizioni, rischio, approvazione e rollback.",plan,[slug],anytime,grl-automation:route,grl-automation:read-only,false,{output_folder}/automation/{slug},"plan.md e run.md"
Guardrails WordPress,grl-automation,Esegui controlli read-only,RO,"Raccoglie evidenze e confronti riproducibili senza modificare sistemi esterni.",read-only,[slug],anytime,grl-automation:plan,grl-automation:dry-run,false,{output_folder}/automation/{slug},"evidence.md aggiornato"
Guardrails WordPress,grl-automation,Prepara un dry-run,DR,"Genera e valida diff o payload senza spendere, pubblicare o applicare side effect.",dry-run,[slug],anytime,grl-automation:read-only,grl-automation:execute,false,{output_folder}/automation/{slug},"diff/payload validato e approvals.md"
Guardrails WordPress,grl-automation,Esegui dopo approvazione,EX,"Applica solo lo scope approvato, registra prima/dopo e osserva il risultato; in caso di errore attiva il rollback.",execute,[slug],anytime,grl-automation:dry-run,,false,{output_folder}/automation/{slug},"execution-log.md, handoff.md e stato del run"
Guardrails WordPress,grl-automation,Riprendi un'automazione,RS,"Riprende un run esistente dal primo passo non concluso senza duplicare scritture o side effect.",resume,[slug],anytime,,grl-automation:execute,false,{output_folder}/automation/{slug},"run.md, plan.md e execution-log.md aggiornati"
